Date, Close/Last, Volume, Open, High, Low
12/19/2019, $35.23, 2168272, $35.5, $35.63, $34.89
12/18/2019, $35.49, 1713223, $34.96, $35.58, $34.635
12/17/2019, $35.13, 1767673, $34.76, $35.32, $34.73
12/16/2019, $34.81, 1502525, $34.84, $35.23, $34.72
12/13/2019, $34.4, 1128508, $34.77, $34.86, $34.36
12/12/2019, $34.71, 942366, $34.13, $34.85, $34.085
12/11/2019, $34.12, 704432, $34.2, $34.43, $33.82
12/10/2019, $34.15, 953407, $34.29, $34.62, $33.96
12/09/2019, $34.33, 1277708, $34.17, $34.405, $33.9731
12/06/2019, $34.22, 1529810, $34.29, $34.62, $34.1
12/05/2019, $34.19, 1860486, $33.87, $34.35, $33.84
12/04/2019, $33.88, 1451760, $34.11, $34.5, $33.85
12/03/2019, $34.01, 1599397, $33.71, $34.14, $33.485
12/02/2019, $34.29, 1501676, $33.97, $34.39, $33.795
11/29/2019, $33.87, 797093, $33.81, $34.24, $33.76
11/27/2019, $33.96, 1388568, $33.12, $34.13, $33.05
11/26/2019, $33.11, 1534409, $33.23, $33.48, $33.09
11/25/2019, $33.22, 1674956, $33.34, $33.725, $33.13
11/22/2019, $33.05, 2062470, $32.48, $33.15, $31.52
11/21/2019, $33.37, 1462038, $33.94, $34.22, $33.31
11/20/2019, $33.88, 975293, $34.23, $34.27, $33.63
11/19/2019, $34.32, 977888, $34.28, $34.69, $34.16
11/18/2019, $34.13, 1067378, $34.08, $34.3401, $33.7
11/15/2019, $34.12, 1570521, $34.37, $34.39, $33.86
11/14/2019, $34.25, 977861, $34.47, $34.91, $34.22
11/13/2019, $34.6, 2018657, $35.26, $35.41, $34.04
11/12/2019, $35.46, 633104, $35.93, $36.11, $35.21
11/11/2019, $36.02, 667318, $36.14, $36.56, $35.92
11/08/2019, $36.31, 968639, $36.2, $36.34, $35.39
11/07/2019, $35.98, 1481525, $36.51, $36.96, $35.76
11/06/2019, $36.25, 1189923, $36.51, $36.7672, $35.94
11/05/2019, $36.67, 2096135, $36.99, $37.83, $35.0875
11/04/2019, $36.8, 1787306, $36.95, $37.09, $36.31
11/01/2019, $36.75, 1159395, $36.9, $37.2142, $36.5
10/31/2019, $36.6, 734397, $36.63, $37.02, $36.12
10/30/2019, $36.64, 575941, $37.13, $37.14, $36.34
10/29/2019, $37.18, 595304, $37.02, $37.45, $36.805
10/28/2019, $37.01, 777407, $37.25, $37.62, $36.98
10/25/2019, $37.09, 681545, $36.41, $37.11, $36.36
10/24/2019, $36.41, 490794, $36.93, $37.05, $35.69
10/23/2019, $36.74, 1105618, $36.65, $37.015, $36.35
10/22/2019, $36.59, 1707858, $36.17, $37.11, $35.97
10/21/2019, $36.21, 1221779, $36.57, $36.81, $36.18
